Ref,Qty,Description,MF,MF_PN,S1,S1_PN,Type
B1,1,Lithium Ion Polymer Battery - 3.7v 500mAh,PKCELL,LP503035,Adafruit,1578,
BAT1,1,CR1220 BATTERY HOLDER SMT FLATPIN,MPD,BK-916-TR,Digikey,BK-916-CT-ND,
C1,1,CAP ALUM 330UF 20% 16V RADIAL,Wurth,860020373011,Digikey,732-8798-1-ND,
C10 C3,2,CAP CER 0.27UF 16V X7R 0603,Murata,GRM188R71C274KA01D,Digikey,490-6427-1-ND,
C11 C13 C2 C7,4,CAP CER 1.5UF 25V X7R 1206,Samsung,CL31B155KAHVPNE,Digikey,1276-6873-1-ND,
C12 C28 C8,3,CAP CER 0.01UF 50V X7R 0603,Murata,GRM188R71H103KA01D,Digikey,490-1512-1-ND,
C14 C29 C34 C4 C49 C50 C9,7,CAP CER 1UF 25V X7R 0805,Samsung,CL21B105KAFNNNE,Digikey,1276-1066-1-ND,
C15 C6,2,CAP CER 22UF 25V X7R 1210,Samsung,CL32B226KAJNNNE,Digikey,1276-3392-1-ND,
C16 C17 C19 C22,4,CAP CER 2.2UF 25V X7R 0805,Samsung,CL21B225KAFNFNE,Digikey,1276-2953-1-ND,
C18,1,CAP CER 33PF 16V X7R 0603,AVX,0603YC330JAT2A,Digikey,478-6211-1-ND,
C20 C21 C23 C24 C43 C44 C45 C46,8,CAP CER 4.7UF 50V X7R 1206,Taiyo Yuden,UMK316AB7475KL-T,Digikey,587-2994-1-ND,
C25 C31,2,CAP CER 10UF 16V X7R 0805,Samsung,CL21B106KOQNNNE,Digikey,1276-2872-1-ND,
C26 C30 C32 C36 C37 C38 C39 C47 C51 C52,10,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND,
C27,1,CAP CER 0.022UF 50V X7R 0603,Samsung,CL10B223KB8SFNC,Digikey,1276-2004-1-ND,
C33 C35,2,CAP CER 22pF 50V NP0 0603,Kemet,C0603C220K4GACTU,Digikey,399-9031-1-ND,
C40 C42,2,CAP CER 2PF 50V C0G/NP0 0603,Murata,GRM1885C1H2R0CA01D,Digikey,490-10713-1-ND,
C41,1,CAP CER 100PF 50V C0G/NP0 0603,Murata,GRM1885C1H101JA01D,Digikey,490-1427-1-ND,
C48,1,CAP CER 10PF 50V NP0 0603,Samsung,CL10C100JB8NCNC,Digikey,1276-2154-1-ND,
C5,1,CAP CER 0.039UF 50V X7R 0603,Samsung,CL10B393KB8SFNC,Digikey,1276-2056-1-ND,
D1 D4,2,DIODE SCHOTTKY 20V 1A SMA,Vishay,SS12-E3/61T,Digikey,SS12-E3/61TGICT-ND,
D2 D3,2,VARISTOR ESD PROTECT USB,Bourns,CG0603MLC-05E,Digikey,CG0603MLC-05ECT-ND,
F1,1,RESETTABLE FUSE 500mA 15V MF-MSMF,Bourns,MF-MSMF050-2,Digikey,MF-MSMF050-2CT-ND,
J1 J2,2,HEADER MALE 2POS TH 1x02 0.1IN,Harwin,M20-9990246,Digikey,952-2262-ND,
J10,1,HEADER FEMALE 10POS TH 1x10 0.1IN,Harwin,M20-7821042,Digikey,952-1846-ND,
J3,1,HEADER MALE 6POS KK100 0.1IN SHROUD TH,Molex,0022232061,Digikey,WM4204-ND ,
J4,1,CONN MICRO SD CARD PUSH-PULL,Molex,0475710001,Digikey,WM9731CT-ND,
J5,1,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J6,1,HEADER MALE 5POS TH 1x05 0.1IN,Harwin,M20-9992046,Digikey,952-1902-ND,
J7,1,ADAFRUIT FONA 808 + GPS,Adafruit,FONA808+GPS,Adafruit,2542,
J8,1,CONN PWR JACK 2.5X5.5MM HIGH CUR,CUI,PJ-202BH,Digikey,PJ-202BH,
J9,1,CONN HEADER PH SIDE 2POS 2MM,JST,S2B-PH-K-S(LF)(SN,Digikey,455-1719-ND,
L1 L3 L4,3,FERRITE BEAD 30 OHM 0805 1LN,Bourns,MH2029-300Y,Digikey,MH2029-300YCT-ND,
L2,1,FIXED IND 1UH 11A XFL4020-102,Coilcraft,XFL4020-102MEC,Mouser,994-XFL4020-102MEC,
LED1 LED2 LED3,3,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND,
R1,1,RES SMD 220 OHM 5% 1/10W 0603,Yageo,RC0603JR-0722RL,Digikey,311-220GRCT-ND,
R10,1,RES SMD 732 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF7320V,Digikey,P732HCT-ND,
R11 R8,2,RES SMD 1.43K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1431V,Digikey,P1.43KHCT-ND,
R12 R16 R23,3,RES SMD 2.26K OHM 1% 1/10W 0603,Yageo,RC0603FR-072K26L,Digikey,311-2.26KHRCT-ND,
R13 R33 R36,3,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,
R14 R39 R40 R41,4,RES SMD 470 OHM 5% 1/4W 0603,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,
R15,1,RES SMD 97.6K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9762V,Digikey,P97.6KHCT-ND,
R17,1,RES SMD 68 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF68R0V,Digikey,P68.0HCT-ND,
R18 R19,2,RES SMD 91K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF9102V,Digikey,P91.0KHCT-ND,
R2,1,RES SMD 64.9K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF6492V,Digikey,P64.9KHCT-ND,
R20 R21,2,RES SMD 220K OHM 5% 1/8W 0805,Panasonic,ERJ-6GEYJ224V,Digikey,P220KACT-ND,
R22 R26,2,RES SMD 2.2K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ222V,Digikey,P2.2KGCT-ND,
R24 R28,2,RES SMD 22K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ223V,Digikey,P22KGCT-ND,
R25 R29,2,RES SMD 4.32K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF4321V,Digikey,P4.32KHCT-ND,
R27,1,RES SMD 2.94K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF2941V,Digikey,P2.94KHCT-ND,
R3 R4 R44,3,RES SMD 100K OHM 1% 1/10W 0603,Stackpole,RMCF0603FG100K,Digikey,RMCF0603FG100KCT-ND,
R30 R6,2,RES SMD 3.83K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF3831V,Digikey,P3.83KHCT-ND,
R31,1,RES SMD 330 OHM 5% 1/10W 0603,Yageo,RC0603JR-07330RL,Digikey,311-330GRCT-ND,
R32 R37,2,RES SMD 1K OHM 1% 1/10W 0603,Samsung,RC1608F102CS,Digikey,1276-3484-1-ND,
R34 R35 R43,3,RES SMD 2K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD2K00,Digikey,RNCP0603FTD2K00CT-ND,
R38,1,RES SMD 0.0 OHM JUMPER 1/8W 0603,Vishay,MCT06030Z0000ZP500,Digikey,MCT0603-0.0-ZZCT-ND,
R42,1,NTC THERMISTOR 10K OHM 1% 0402,Samsung,NTCG103JF103FT1,Digikey,445-2550-1-ND,
R45 R47,2,RES SMD 1M OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ105V,Digikey,P1.0MGCT-ND,
R46,1,RES SMD 111K OHM 5% 1/10W 0603,Panasonic,ERJ-3GEYJ111V,Digikey,P110GCT-ND,
R5,1,RES SMD 1.87K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF1871V,Digikey,P1.87KHCT-ND,
R7,1,RES SMD 10 OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF10R0V,Digikey,P10.0HCT-ND,
R9,1,RES SMD 470 OHM 5% 1/4W 0603,Yageo,RC0603FR-071K02L,Digikey,311-1.02KHRCT-ND,
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,Omron,B3U-1000P,Digikey,SW1020CT-ND,
U1 U2 U4,3,IC OPAMP QUAD GP RRO 1MHZ SOIC14,Microchip,MCP6004T-I/SL,Digikey,MCP6004T-I/SLCT-ND,
U10,1,IC REG BUCK BOOST ADJ 2A 10WSON,TI,TPS63060DSCR,Digikey,296-30204-1-ND,
U11,1,IC REG LDO 3.3V 0.25A MCP1703 SOT23A-3,Microchip,MCP1703T-3302E/CB,Digikey,MCP1703T-3302E/CBCT-ND,
U3,1,IC OPAMP GP 3MHZ RRO 14SOIC,TI,TLV274CDR,Digikey,296-39258-1-ND,
U5,1,IC ADC 16BIT SPI 860SPS ADS1118 10MSOP,TI,ADS1118IDGSR,Digikey,296-38850-1-ND,
U6,1,IC MCU 32BIT 256KB FLASH ATSAMD21G 48TQFP,Atmel,ATSAMD21G18A-AUT,Digikey,ATSAMD21G18A-AUTCT-ND,
U7,1,IC EEPROM 1MBIT 400KHZ 24AA1025 SOIC8,Microchip,24AA1025-I/SN,Digikey,24AA1025-I/SN-ND,
U8,1,IC RTC CLK/CALENDAR I2C MCP7940N SOIC8,Microchip,MCP7940N-E/SN,Digikey,MCP7940N-E/SN-ND,
U9,1,IC USB/AC BATT CHRGR MCP73871 20QFN,Microchip,MCP73871T-2CCI/ML,Digikey,MCP73871T-2CCI/MLCT-ND,
W1,1,,,,,,
X1,1,CRYSTAL 16MHZ 30PPM 18pF 4SMD,CTS,406I35D16M00000,Digikey,CTX1206CT-ND,
X2,1,CRYSTAL 32.768kHz 7pF CFS-20632768DZYB,Citizen Finedevice,CFS-20632768DZYB,Digikey,300-8842-ND,
