Location,MPN/Seeed SKU,Quantity
B1,LP503035,1
BAT1,BK-916-TR,1
C1,860020373011,1
C10,GRM188R71C274KA01D,1
C11 C13 C2 C7,CL31B155KAHVPNE,4
C12 C28 C8,GRM188R71H103KA01D,3
C14 C29 C34 C4 C49 C50 C9,CL21B105KAFNNNE,7
C15 C54 C55 C56 C6,CL32B226KAJNNNE,5
C16 C17 C19 C22,CL21B225KAFNFNE,4
C18,0603YC330JAT2A,1
C20 C21 C23 C24 C43 C44 C45,CL31B475KBHNNNE,7
C25 C31 C46 C53,CL21B106KOQNNNE,4
C26 C30 C36 C37 C38 C39 C47 C51 C52,GRM188R72A104KA35D,9
C27,CL10B223KB8SFNC,1
C3,CL10B224KA8NNNC,1
C33 C35,C0603C220K4GACTU,2
C40 C42,GRM1885C1H2R0CA01D,2
C41,GRM1885C1H101JA01D,1
C48,CL10C100JB8NCNC,1
C5,CL10B393KB8SFNC,1
D1 D4,SS12-E3/61T,2
D2 D3,CG0603MLC-05E,2
F1,MF-MSMF050-2,1
FID1 FID2 FID3,,3
J1 J2,M20-9990246,2
J3,0022232061,1
J4,0475710001,1
J5,10118193-0001LF,1
J6,7-215079-6,1
J7,FONA808+GPS,1
J8,PJ-202BH,1
J9,S2B-PH-K-S(LF)(SN,1
L1 L3 L4 L5,MH2029-300Y,4
L2,1226AS-H-1R0N=P2,1
LED1 LED2 LED3,LA L296-Q2R2-1-Z,3
R1,RC0603JR-0722RL,1
R10,ERJ-3EKF7320V,1
R11 R8,ERJ-3EKF1431V,2
R12 R16 R23,RC0603FR-072K26L,3
R13 R33 R36,RNCP0603FTD10K0,3
R14 R39 R40 R41,ESR03EZPJ471,4
R15,ERJ-3EKF9762V,1
R17,ERJ-3EKF68R0V,1
R18 R19,ERJ-3EKF9102V,2
R2,ERJ-3EKF6492V,1
R20 R21,ERJ-6GEYJ224V,2
R22 R26,ERJ-3GEYJ222V,2
R24 R28,ERJ-3GEYJ223V,2
R25 R29,ERJ-3EKF4321V,2
R27,ERJ-3EKF2941V,1
R3 R4 R44,RMCF0603FG100K,3
R30 R6,ERJ-3EKF3831V,2
R31,RC0603JR-07330RL,1
R32 R37,RC1608F102CS,2
R34 R35 R43,RNCP0603FTD2K00,3
R38,MCT06030Z0000ZP500,1
R42,NTCG103JF103FT1,1
R45 R47,ERJ-3GEYJ105V,2
R46,ERJ-3GEYJ111V,1
R5,ERJ-3EKF1871V,1
R7,ERJ-3EKF10R0V,1
R9,RC0603FR-071K02L,1
S1,B3U-1000P,1
U1 U2,MCP6004T-I/SL,2
U10,TPS63060DSCR,1
U11,MCP1703T-3302E/CB,1
U3,TLV274CDR,1
U4,MCP6001T-I/OT,1
U5,ADS1118IDGSR,1
U6,ATSAMD21G18A-AUT,1
U7,24AA1025-I/SN,1
U8,MCP7940N-E/SN,1
U9,MCP73871T-2CCI/ML,1
W1,,1
X1,406I35D16M00000,1
X2,CFS-20632768DZYB,1
